user_id,question_1,question_2,question_3,question_4,question_5,program_name,registered_time
1,"Programming & Coding,Sound Engineering,Electrical ",เทคโนโลยีที่ทันสมัย อำนวยความสะดวก และสร้างประโยชน์,โครงงานนวัตกรรมสื่อมัลติมีเดียสำหรับ Event & Exhibition & Concert,ระบบติดตามรถโดยสารอัจฉริยะ,Data Analyst,Computer and Robotics Engineering,2024-08-29T05:26:39.000Z
2,"Visual & Motion Graphic,Sound Engineering,Robotics & Automation",เทคโนโลยีที่ทันสมัย อำนวยความสะดวก และสร้างประโยชน์,โครงงานนวัตกรรมสื่อมัลติมีเดียสำหรับ Event & Exhibition & Concert,Guess who by AI Robot,Sound Engineer ,Multimedia and Entertainment Engineering,2024-08-29T05:43:49.000Z
3,"Data Science,Robotics & Automation,Programming & Coding",เทคโนโลยีที่ทันสมัย อำนวยความสะดวก และสร้างประโยชน์,โครงงานพัฒนาและประยุกต์ใช้ Data-driven Solution เพื่อแก้ไขปัญหารถติด,ระบบติดตามรถโดยสารอัจฉริยะ,"Data Analyst,System Analysis & Developer,Computer Engineering",Computer and Robotics Engineering,2024-08-29T06:03:03.000Z
6,"AI,Robotics & Automation,Programming & Coding",เทคโนโลยีที่ทันสมัย อำนวยความสะดวก และสร้างประโยชน์,โครงงานพัฒนาแอปพลิเคชันสำหรับการเรียนออนไลน์,ระบบติดตามรถโดยสารอัจฉริยะ,"Data Analyst,Computer Engineering,System Analysis & Developer",Computer and Robotics Engineering,2024-08-29T06:14:01.000Z
13,"AI,Robotics & Automation,Programming & Coding",เทคโนโลยีที่ทันสมัย อำนวยความสะดวก และสร้างประโยชน์,โครงงานพัฒนาแอปพลิเคชันสำหรับการเรียนออนไลน์,ระบบติดตามรถโดยสารอัจฉริยะ,"System Analysis & Developer,Data Analyst,Computer Engineering",Computer and Robotics Engineering,2024-08-29T07:59:51.000Z
14,"AI,Visual & Motion Graphic,Sound Engineering",ประยุกต์ใช้งาน AI & Data Science มาเชื่อมโยงงานต่างๆ ได้,โครงงานพลังงานแสงอาทิตย์ที่มีประสิทธิภาพสูง,ระบบติดตามรถโดยสารอัจฉริยะ,"Artificial Intelligence Engineer,Electrical Design Engineer,Computer Graphic",Multimedia and Entertainment Engineering,2024-08-29T08:03:48.000Z
18,"Data Science,AI,Programming & Coding",ประยุกต์ใช้งาน AI & Data Science มาเชื่อมโยงงานต่างๆ ได้,โครงงานพัฒนาและประยุกต์ใช้ Data-driven Solution เพื่อแก้ไขปัญหารถติด,Guess who by AI Robot,"Artificial Intelligence Engineer,Data Analyst,Computer Engineering",Artificial Intelligence Engineering and Data Science,2024-08-29T08:08:26.000Z
19,"AI,Robotics & Automation,Programming & Coding",เทคโนโลยีที่ทันสมัย อำนวยความสะดวก และสร้างประโยชน์,โครงงานพัฒนาแอปพลิเคชันสำหรับการเรียนออนไลน์,ระบบติดตามรถโดยสารอัจฉริยะ,"Data Analyst,System Analysis & Developer,Computer Engineering",Computer and Robotics Engineering,2024-08-29T08:10:30.000Z
22,"AI,Visual & Motion Graphic,Sound Engineering",สร้างนวัตกรรม พัฒนางานมัลติมีเดียสื่อผสม,โครงงานพลังงานแสงอาทิตย์ที่มีประสิทธิภาพสูง,Guess who by AI Robot,"Data Analyst,Project Engineer,Computer Graphic",Multimedia and Entertainment Engineering,2024-08-29T09:25:41.000Z
23,"Data Science,AI,Visual & Motion Graphic",ประยุกต์ใช้งาน AI & Data Science มาเชื่อมโยงงานต่างๆ ได้,โครงงานพัฒนาและประยุกต์ใช้ Data-driven Solution เพื่อแก้ไขปัญหารถติด,Guess who by AI Robot,"Artificial Intelligence Engineer,Data Analyst,Sound Engineer ",Artificial Intelligence Engineering and Data Science,2024-08-29T09:29:07.000Z
26,"Electrical ,Renewable Energy ,Sound Engineering",เทคโนโลยีที่ทันสมัย อำนวยความสะดวก และสร้างประโยชน์,โครงงานพลังงานแสงอาทิตย์ที่มีประสิทธิภาพสูง,Immersive Interactive DEEP SEA,"Sound Engineer ,System Analysis & Developer,Computer Engineering",Computer and Robotics Engineering,2024-08-29T09:42:32.000Z
29,"Data Science,Electrical ,Sound Engineering",เทคโนโลยีที่ทันสมัย อำนวยความสะดวก และสร้างประโยชน์,โครงงานนวัตกรรมสื่อมัลติมีเดียสำหรับ Event & Exhibition & Concert,สกู๊ตเตอร์ชาร์จไฟฟ้า,Sound Engineer ,Multimedia and Entertainment Engineering,2024-08-29T09:50:00.000Z
31,"Sound Engineering,Robotics & Automation,Programming & Coding",เทคโนโลยีที่ทันสมัย อำนวยความสะดวก และสร้างประโยชน์,โครงงานพัฒนาแอปพลิเคชันสำหรับการเรียนออนไลน์,ระบบติดตามรถโดยสารอัจฉริยะ,"Sound Engineer ,System Analysis & Developer,Computer Engineering",Computer and Robotics Engineering,2024-08-29T14:25:40.000Z
32,"Sound Engineering,Robotics & Automation,Programming & Coding",เทคโนโลยีที่ทันสมัย อำนวยความสะดวก และสร้างประโยชน์,โครงงานพัฒนาแอปพลิเคชันสำหรับการเรียนออนไลน์,Immersive Interactive DEEP SEA,"Sound Engineer ,System Analysis & Developer,Computer Engineering",Computer and Robotics Engineering,2024-08-29T14:26:52.000Z
33,"Electrical ,Robotics & Automation,Programming & Coding",เทคโนโลยีที่ทันสมัย อำนวยความสะดวก และสร้างประโยชน์,โครงงานพัฒนาและประยุกต์ใช้ Data-driven Solution เพื่อแก้ไขปัญหารถติด,Guess who by AI Robot,"Artificial Intelligence Engineer,System Analysis & Developer,Electrical Design Engineer",Computer and Robotics Engineering,2024-08-30T01:54:30.000Z
34,"AI,Electrical ,Programming & Coding",การผลิตและออกแบบระบบส่งจ่ายไฟฟ้า,โครงงานพลังงานแสงอาทิตย์ที่มีประสิทธิภาพสูง,สกู๊ตเตอร์ชาร์จไฟฟ้า,"Electrical Design Engineer,Project Engineer,Computer Engineering",Electrical Engineering,2024-08-30T01:55:48.000Z
36,"Electrical ,AI,Sound Engineering",สร้างนวัตกรรม พัฒนางานมัลติมีเดียสื่อผสม,โครงงานพัฒนาแอปพลิเคชันสำหรับการเรียนออนไลน์,Guess who by AI Robot,"Sound Engineer ,Electrical Design Engineer,Artificial Intelligence Engineer",Multimedia and Entertainment Engineering,2024-08-30T02:08:27.000Z
37,"Programming & Coding,Robotics & Automation,Data Science",เทคโนโลยีที่ทันสมัย อำนวยความสะดวก และสร้างประโยชน์,โครงงานพัฒนาแอปพลิเคชันสำหรับการเรียนออนไลน์,ระบบติดตามรถโดยสารอัจฉริยะ,"Computer Graphic,Computer Engineering,System Analysis & Developer",Computer and Robotics Engineering,2024-08-30T02:08:24.000Z
38,"AI,Electrical ,Programming & Coding",เทคโนโลยีที่ทันสมัย อำนวยความสะดวก และสร้างประโยชน์,โครงงานนวัตกรรมสื่อมัลติมีเดียสำหรับ Event & Exhibition & Concert,สกู๊ตเตอร์ชาร์จไฟฟ้า,Data Analyst,Computer and Robotics Engineering,2024-08-30T02:12:22.000Z
40,"Visual & Motion Graphic,Robotics & Automation,Programming & Coding",เทคโนโลยีที่ทันสมัย อำนวยความสะดวก และสร้างประโยชน์,โครงงานพัฒนาแอปพลิเคชันสำหรับการเรียนออนไลน์,ระบบติดตามรถโดยสารอัจฉริยะ,"Electrical Design Engineer,Computer Graphic,Computer Engineering",Computer and Robotics Engineering,2024-08-30T02:14:10.000Z
44,"AI,Renewable Energy ,Robotics & Automation",ประยุกต์ใช้งาน AI & Data Science มาเชื่อมโยงงานต่างๆ ได้,โครงงานนวัตกรรมสื่อมัลติมีเดียสำหรับ Event & Exhibition & Concert,Immersive Interactive DEEP SEA,"Data Analyst,Project Engineer,Computer Engineering",Computer and Robotics Engineering,2024-08-30T02:16:32.000Z
48,"Visual & Motion Graphic,Electrical ,Sound Engineering",เทคโนโลยีที่ทันสมัย อำนวยความสะดวก และสร้างประโยชน์,โครงงานพัฒนาและประยุกต์ใช้ Data-driven Solution เพื่อแก้ไขปัญหารถติด,สกู๊ตเตอร์ชาร์จไฟฟ้า,"Data Analyst,System Analysis & Developer,Project Engineer",Multimedia and Entertainment Engineering,2024-08-30T02:24:00.000Z
49,"AI,Robotics & Automation,Programming & Coding",เทคโนโลยีที่ทันสมัย อำนวยความสะดวก และสร้างประโยชน์,โครงงานพัฒนาแอปพลิเคชันสำหรับการเรียนออนไลน์,Guess who by AI Robot,"Project Engineer,Computer Graphic,Computer Engineering",Computer and Robotics Engineering,2024-08-30T02:23:06.000Z